GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.model,ExampleGenerator,3049,0,116,0,756,0,77,0,19,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.model,BaseRecordGenerator,229,0,32,0,48,0,21,0,5,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.model,PrimaryKeyGenerator,150,0,14,0,31,0,9,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.model,RecordWithBLOBsGenerator,154,0,14,0,31,0,9,0,2,0
MyBatis Generator Core,org.mybatis.generator.internal.db,SqlReservedWords,3697,0,4,0,11,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.internal.db,DatabaseDialects,189,0,18,0,34,0,15,0,6,0
MyBatis Generator Core,org.mybatis.generator.internal.db,ActualTableName,48,0,4,0,14,0,9,0,7,0
MyBatis Generator Core,org.mybatis.generator.internal.db,DatabaseIntrospector,1568,0,224,0,324,0,125,0,13,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,CountByExampleMethodGenerator,71,0,2,0,17,0,4,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,SelectByPrimaryKeyMethodGenerator,164,0,14,0,39,0,10,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,DeleteByPrimaryKeyMethodGenerator,155,0,14,0,37,0,10,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,UpdateByPrimaryKeyWithoutBLOBsMethodGenerator,68,0,2,0,17,0,4,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements,SelectAllMethodGenerator,70,0,2,0,19,0,4,0,3,0
